row_name	Sample_126043	Sample_126044	Sample_126045	Sample_126046	Sample_126048	Sample_126049	Sample_126050	Sample_126051	Sample_126052	Sample_126053	Sample_126054	Sample_126055	Sample_126056	Sample_126057	Sample_126058	Sample_126059	Sample_126065	Sample_126066	Sample_126067	Sample_126068	Sample_126069	Sample_126070	Sample_127119	Sample_127120	Sample_127121
ENSRNOG00000035522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014025	15795	14721	8246	7343	6309	4890	1873	19877	16670	17171	13339	13608	12646	23426	8247	5323	1306	33028	35638	24315	29533	33557	42687	28463	30834
ENSRNOG00000054897	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014064	693	583	445	360	300	243	103	1394	905	746	746	664	649	1390	329	282	63	1387	2261	1227	1807	2133	2673	1950	1413
ENSRNOG00000058412	584	471	457	410	329	235	112	1096	953	517	703	579	518	1297	324	217	58	1161	1284	1407	969	1333	1558	1422	1066
ENSRNOG00000028036	20	13	19	7	7	7	5	56	41	28	21	18	33	59	11	15	3	39	59	53	64	82	111	51	28
ENSRNOG00000014543	505	504	391	286	257	183	76	1019	738	556	562	445	595	1011	300	174	75	982	1429	1013	1112	1463	1685	1073	1204
ENSRNOG00000058170	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
ENSRNOG00000014644	903	876	359	181	367	56	88	1584	454	285	695	447	1405	985	639	383	113	1257	2535	882	1279	6307	884	461	373
ENSRNOG00000014871	109	102	57	46	50	9	14	207	82	35	116	73	203	210	68	69	12	188	388	145	169	925	126	88	49
ENSRNOG00000047917	1	3	1	0	0	0	0	0	4	4	3	2	2	4	1	1	0	2	7	3	4	2	6	6	5
ENSRNOG00000008048	37	25	30	26	17	6	4	81	53	43	52	57	56	56	21	5	3	74	109	77	74	113	136	89	54
ENSRNOG00000030551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008151	141	126	58	49	53	50	7	253	165	86	117	106	103	226	52	47	6	275	230	196	179	212	225	231	205
ENSRNOG00000060943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000030183	132	128	38	66	65	40	22	315	145	84	148	126	160	233	56	57	8	222	315	153	209	242	214	189	161
ENSRNOG00000057868	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008363	1	1	0	0	1	0	0	1	0	2	1	1	1	0	1	0	0	1	2	1	2	5	3	1	2
ENSRNOG00000057191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008519	971	858	433	399	374	194	112	1793	941	433	891	730	1132	1518	382	295	79	1946	1350	1281	1084	1185	1661	1463	1384
ENSRNOG00000056584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008554	292	244	190	186	141	111	43	462	447	313	332	316	261	532	165	93	29	647	681	581	604	647	711	601	532
ENSRNOG00000050528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052169	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSRNOG00000041539	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000047734	1483	964	1610	1255	1002	799	361	2890	3051	3042	1845	1451	1315	3977	768	613	225	2676	7165	3933	6036	6717	7249	5387	5686
ENSRNOG00000008607	942	938	374	357	237	208	63	1169	798	478	698	740	813	1144	423	285	70	2028	1256	1050	1033	1275	1339	1271	972
ENSRNOG00000032374	567	479	386	352	222	192	69	849	710	681	537	519	534	996	278	193	54	1068	1637	907	1303	1373	1340	950	1312
ENSRNOG00000033654	57	79	23	24	18	15	5	101	63	26	72	66	58	86	35	22	5	141	44	94	38	24	64	109	50
ENSRNOG00000046848	33	43	20	18	13	16	4	93	28	22	51	24	36	75	21	31	3	62	72	63	56	96	84	48	38
ENSRNOG00000054902	901	773	501	441	384	315	108	1329	1065	824	847	756	708	1462	449	291	77	1811	1967	1517	1717	1684	1974	1556	1497
ENSRNOG00000009945	708	732	258	238	194	182	47	1067	562	395	561	526	446	697	303	213	58	1692	1209	726	1071	937	758	925	750
ENSRNOG00000010027	229	259	192	135	127	82	27	447	356	160	283	256	236	440	98	83	29	612	420	463	324	417	382	320	281
ENSRNOG00000042951	676	609	345	286	274	173	73	986	691	458	538	593	618	1020	303	200	58	1512	1138	922	951	1052	1022	777	926
ENSRNOG00000043854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010942	34	32	19	17	10	9	4	36	39	21	24	28	21	51	10	9	0	45	58	35	51	67	49	25	33
ENSRNOG00000011241	534	495	274	243	189	172	47	755	583	436	505	462	461	911	242	145	54	1036	977	711	844	936	773	792	736
ENSRNOG00000059045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000030296	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0
ENSRNOG00000011501	1332	1181	707	682	571	384	156	2141	1568	902	1275	1207	1084	2271	588	421	126	2660	2764	2267	2120	2664	2700	2671	1812
ENSRNOG00000011663	58	43	49	29	31	29	7	77	72	106	61	60	51	122	36	17	5	92	300	116	235	301	302	188	185
ENSRNOG00000053034	2	4	2	3	1	2	1	9	6	5	8	7	1	6	1	0	1	19	13	5	10	13	1	5	0
ENSRNOG00000056201	1	1	1	2	0	0	0	3	1	1	1	1	0	1	1	2	0	7	2	2	6	8	0	4	1
ENSRNOG00000060001	1	1	5	3	0	3	0	6	2	3	2	1	4	6	0	1	0	9	9	9	7	12	3	2	0
ENSRNOG00000011909	464	398	306	228	197	142	68	687	551	314	467	387	408	798	185	140	45	939	705	725	646	686	730	788	614
